id,text,twitterUrl,retweetCount,replyCount,likeCount,quoteCount,isReply,date
1516523339371761668,"Netflix has reported that they’ve lost subscribers for the first time in more than a decade.

The global streaming giant lost 200k subscribers in Quarter 1, they’re expected to lose 2 million more by spring. https://t.co/muB0SCMJ1s",https://twitter.com/PopBase/status/1516523339371761668,413,649,7288,1899,False,2022-04-19
1516508527833108487,Netflix shares drop 18% after the streaming giant announced a fall in subscribers for the first time in a decade and a forecast for more losses https://t.co/IXC7M2F72T $NFLX https://t.co/UX7eNYC7rR,https://twitter.com/Reuters/status/1516508527833108487,64,63,145,74,False,2022-04-19
1516534361222529026,"#Netflix shares plunged 26% and Netflix bonds drop as well in after-hours trading following shocking numbers.Subscriber drop of 200,000 (far below 2.7mln additions expected) is first decline in decade w/ the company warning that it expects to lose even more in the months ahead. https://t.co/qBwSFLayGz",https://twitter.com/Schuldensuehner/status/1516534361222529026,89,29,355,10,False,2022-04-19
1516538847525584907,"Netflix stock down 20% after 1.4 billion people in India realize they can all share the same password. 🤣
Netflix is planning on limiting it to 1 or 2 devices now.
100 million worldwide uses unregistered
أسهم نتفليكس نزلت ٢٠٪ بعد إكتشاف الشعب الهندي بإن بإمكانهم تقاسم كلمة السر",https://twitter.com/LadyVelvet_HFQ/status/1516538847525584907,82,50,757,5,False,2022-04-19
1516513319527624727,Netflix ha perdido unos 200 mil suscriptores en el primer cuarto de este 2022 y se espera que el número ascienda a los 2 millones para el segundo cuarto. https://t.co/8XD6Jo9O8P,https://twitter.com/MarvelLatin/status/1516513319527624727,12,7,230,5,False,2022-04-19
1516522943588802570,"Netflix Q4 revenues were up 9.8% over the prior year, its slowest YoY growth rate since 2012.

$NFLX

Data via @ycharts https://t.co/1qpJZYqEAq",https://twitter.com/charliebilello/status/1516522943588802570,39,5,175,2,False,2022-04-19
1516536959006654473,Netflix loses subscribers for first time in more than 10 years https://t.co/RrUIDb0ar3,https://twitter.com/BBCWorld/status/1516536959006654473,150,242,962,77,False,2022-04-19
1516516873638191107,Netflix loses subscribers for first time in more than 10 years https://t.co/0y53u45jQr,https://twitter.com/BBCNews/status/1516516873638191107,195,309,1164,95,False,2022-04-19
1516507776087990273,"EARNINGS: Netflix Q1 EPS $3.53 vs. $2.89 Est.; Q1 Revs. $7.87B vs. $7.93B Est. • $NFLX reports loss of 200K subscribers in Q1, forecasts subscriber loss of 2M next quarter
https://t.co/S33O81Xy3c https://t.co/dwE4CHr447",https://twitter.com/CNBCnow/status/1516507776087990273,231,92,731,261,False,2022-04-19
1516552567504973824,"Netflix has lost subscribers for the first time in a decade...

They lost 200k subscribers in Q1 and are expected to lose another 2M in Q2 https://t.co/1olrC4fogU",https://twitter.com/ProjBigScreen/status/1516552567504973824,25,36,577,40,False,2022-04-19
