case,title,source,published_utc,link,query
Netflix,Netflix Stock Records Its Biggest One-Day Drop Ever After Losing 200k Subscribers - IGN,IGN,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMioAFBVV95cUxNYkU2S3dGRnpoU1pWV0RySmRQVk1hdGdSbG9MSVF5LTRNUm5MM0c1U01rNXo0UG9VbTdjVzdpajBhc09XdGgyQWxqcS1zSnF1aVJvYUM0YlZCMDNYSzE5Sk5HRGJNbjJfWFhfRkp1TlE5SUJqTHRTa2trNHhkUko1LUpSNjA4NmNxYWpTWkhVdndFZDhNa1phTzZpMmx3N3lk?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,Netflix just lost subscribers for the first time in over a decade - The Verge,The Verge,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMijgFBVV95cUxQZ1JYR1FoQjhRMkZmNjdhQmdxWVhycE9UeDVIMEhob2VRMXNxbWwzT1FGTjg5enhadnRtTEZxbmRlNDdMWEtFQXIyZFc0ZFQ4MDE2SlV2aTVWZG1QTHRubUpRVlpydTJNU3Q0LTRRbzktU0xmUEpEc3R4VUZyZ1RXbXhhSzM1d1llMnJ4QzRR?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,Here's why people are ditching Netflix and what it means for you - Australian Broadcasting Corporation,Australian Broadcasting Corporation,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxPczU2aHFvSWpiUC1NVlQwWjZmeXU4Uy1OczQ3NEhJTnVfc3lweXFxZGRWSGNOUGFxM3lrSzlZb2FiWnozblYzY19SRjNOb1VEYWUzX215YkZSbU02ZWx1WmFCTnhjSXU5Y184Mm85eGtKVWI5dFZ4aUNFOHo2c2xRWl8teURnc2U0MVhTdG9mdFdZdXQwQXhFVkdtNjU1eTBDdUM0eU03Z3lDR09t?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,"Netflix shares drop 25% after it loses 200,000 subscribers - Jersey Evening Post",Jersey Evening Post,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMisgFBVV95cUxQWUhhUVNvVklIQXdld2V0elV0Nll4RGtaUm9XRFJ6T1FqTExnWkV2Vm5rdEIxTUVSNkVXMy1Ec2VWclFxRElwakkzeHpGYTZINVJ5YWE1Uk1IVjk0b3otUjJVOGprcXZfTFI5SWRfenpRM2NNNi1GRFRueWR0ckxRWXZxTF9SSkFldTM4eWZ1RjQ0cVRYUWFZOVhONnU0NFcxMzJiRU1yN3RUZ3ZJanA3RmdR?oc=5,"""Netflix"" subscriber loss April 2022"
Netflix,"Netflix Q1 net subscribers unexpectedly decline, revenue misses expectations - Yahoo Finance",Yahoo Finance,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMilAFBVV95cUxPTFZ2eHZqWV9OV1lvalZxaFg5dWJ0T0xpMnZlVFlKdHFMZ1FTXy1xSm90dWxsRzZfdXNjNG9KNnJyX3lkanVKT2d3Y1B4RVpJZWdZcVRQdk15akRwY1dnNnZDTkprYUgyeGJ0eU5HTXFDSEwxdldEaUd4b0FFTlhBamJrTGlmNThNRkROOHEycjJMRHdk?oc=5,"""Netflix"" earnings April 2022"
Netflix,"Netflix earnings: Q1, 2022 - Disney and Warner Bros. Discovery, not Fortnite and sleep, are the competition - Parrot Analytics",Parrot Analytics,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMi2gFBVV95cUxOWmk3MXR5LXlsYlJjVlVFWnBMYjVpWjhpVXRvUFNqRW14am9DV0VVNFlEZ0V3cVo4NExUbHZmTW5xX2pEbXpqbjlYTHRETVo1ZW5xSXBYaFpVMldxR1l0LVJtZzlGcnJ2YzRvZk1UUDRHb093aVRLbUstUVJVVHItaHBSNFVwNUxEM2EzVm9LZ2xyQWNRbXJDdWppSFpHaDQ0VTJlT2YyckRrUUFwZFlvV3hVeUExM1puNXd4NlNQcnpvalJvYkthMVY4UkFsSy1BcDUwU2xwUjRCUQ?oc=5,"""Netflix"" earnings April 2022"
Netflix,Netflix is finally ready to sell ads - Ad Age,Ad Age,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMisAFBVV95cUxQYzAtbWY1TVFyRlNYZlhmVzlCTXNtcTB4cExfaVBHUVZqTUY4cUItVm9yZTMxR244QjRwZURaMEFaMDV2M191bUJ1QklOR0FBTjFxQjQxelotM2tQREpFYXFJY1VVSkp6a1AtQVhCdUZGYW9OQi14Y29vVnZGUnh0dGFSbE9SY0UyVGZYUE5PVDlFRnJxVGsyWWFhWWtQTWRjVk1pbTJOSjhac1JPaEUtaQ?oc=5,"""Netflix"" earnings April 2022"
Netflix,NFLX Earnings: Key quarterly highlights from Netflix’s Q1 2022 financial results - AlphaStreet,AlphaStreet,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMirAFBVV95cUxPbmZFcjZDLS1aMWs5TEl1T01hcWhhcXdnbHg0ZGs2d24zSTQ4REkxalZ0UGRRWXJja3llUVhJaEJZS1dwbkVXMTBJQzI3T0ZPN0ZFTVlnX3BzN2g5YXVpbDRDenlhRXc4SlBPMHZoaDhYeWhnNUlPNkdkVnpjRVoyV1ZTcy15bTlKQzVVb2QtN2JZZTYxa1JZMXQ3cWIzMGJsYzJ4U0NMX19JR2pW?oc=5,"""Netflix"" earnings April 2022"
Netflix,Netflix to introduce ad-supported plans over the next year or two - TechCrunch,TechCrunch,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMifkFVX3lxTE1tWlRKekNIdlkwdkRBRWRSMXZPbnB6bXFPQXR5bTY3WUxoUnBkU3o4bmp4Y3BKQjZDdGZpVi03d3czNVRDNU10Z2dQNXg4bHA1VUllNXRrSmJrWmhHWFpHYnFvRzdkN3JJQ2NqejV1M0RHYTJ0aHdNcmNGd0sydw?oc=5,"""Netflix"" earnings April 2022"
Netflix,Cost of living crisis bites: UK Streaming market shrinks - Kantar,Kantar,2022-04-19 07:00:00+00:00,https://news.google.com/rss/articles/CBMiogFBVV95cUxOSE5UQURfMnl3NThLOXJVUnFLSVA0bkFMdzE1WmVPRGJPdXRlVGtuVlhhRVRDckZxcXRidVJCbE5kV2dMekFDVndhVkh1dkFuR25OX2sxNE1pNzNUVGpCelVjeWgzUGZhREtKcjhoRXJ4UDdTN3FBWnRQdlE3WExvdWxFMzdQM1JCMC1jaGFUejQwNnB1ejBka1UyVVNIVEVpQVE?oc=5,Netflix streaming market after:2022-04-19 before:2022-05-04
