date,Ticker,price_Kre,log_return,vol_5d,vol_10d,news_volume,sentiment_distilbert,sentiment_xlm,MDI_news,gdelt_volume,gdelt_index_pct
2023-03-10,SVB,46.32066345214844,-0.0449406546199485,0.032,0.029,33,-0.879,-0.575,0.395,1208,19.386936286310384
2023-03-11,SVB,,,,,11,-0.864,-0.605,0.349,1935,31.05440539239288
2023-03-12,SVB,,,,,35,-0.743,-0.235,0.698,2614,41.95153265928423
2023-03-13,SVB,40.6185417175293,-0.1313635014897076,0.049,0.044,95,-0.716,-0.418,0.516,6231,100.0
2023-03-14,SVB,41.468379974365234,0.0207065535878222,0.061,0.047,54,-0.657,-0.458,0.529,5228,83.90306531856845
2023-03-15,SVB,40.79216003417969,-0.0164413015724148,0.059,0.046,47,-0.713,-0.407,0.552,4160,66.76295939656556
2023-03-16,SVB,42.22683334350586,0.0345659732676203,0.066,0.051,34,-0.471,-0.434,0.477,3976,63.80998234633285
2023-03-17,SVB,39.69559860229492,-0.0618155650823218,0.067,0.05,25,-0.42,-0.353,0.569,3417,54.83870967741935
