date,Ticker,price_Kre,log_return,vol_5d,vol_10d,social_volume,sentiment_distilbert_social,sentiment_xlm_social,MDI_social,like_sum,retweet_sum,reply_sum,engagement,gdelt_volume,gdelt_index_pct
2023-03-10,SVB,46.32066345214844,-0.04,0.03,0.03,83,-0.78,-0.55,0.41,102957,24180,4568,131705,1208,19.386936286310384
2023-03-11,SVB,,,,,100,-0.82,-0.51,0.46,128496,27780,8744,165020,1935,31.05440539239288
2023-03-12,SVB,,,,,96,-0.54,-0.27,0.64,84260,17342,7075,108677,2614,41.95153265928423
2023-03-13,SVB,40.6185417175293,-0.13,0.05,0.04,84,-0.48,-0.31,0.56,131960,31563,20405,183928,6231,100.0
2023-03-14,SVB,41.468379974365234,0.02,0.06,0.05,62,-0.69,-0.55,0.54,47077,10709,7384,65170,5228,83.90306531856845
2023-03-15,SVB,40.79216003417969,-0.02,0.06,0.05,83,-0.69,-0.56,0.51,103634,25416,7629,136679,4160,66.76295939656556
2023-03-16,SVB,42.22683334350586,0.03,0.07,0.05,59,-0.61,-0.41,0.47,55420,16467,3866,75753,3976,63.80998234633285
2023-03-17,SVB,39.69559860229492,-0.06,0.07,0.05,80,-0.59,-0.41,0.59,133393,29038,15563,177994,3417,54.83870967741935
